"UT","PT","TI","AF","CR","AU","SO","LA","DT","AB","RP","NR","TC","Z9","U1","U2","PU","PI","PA","SN","J9","JI","PD","PY","VL","IS","BP","EP","DI","PG","WC","SC","GA","DE","ID","C1","EM","AR","FU","FX","PM","EI","SI","BE","SE","CT","CY","CL","SP","HO","BN","PN","RI","OI","SU","GP","MA","BA","BF","numAuthors"
"WOS:000353563200022","S","The weakest link on the network: exploiting ADSL routers to perform|cyber-attacks","Stasinopoulos, Anastasios|Ntantogian, Christoforos|Xenakis, Christos","[Anonymous], DIRBUSTER MULT THREA|[Anonymous], 2012, STAT BROADB GREEC 2|Bojinov Hristo, 2009, BLACKHAT 2009 US|Cutlip Z, 2012, SQL INJECTION MIPS O|Sean-Philip Oriyano, CLIENT SIDE ATTACKS","Stasinopoulos, A|Ntantogian, C|Xenakis, C","2013 IEEE INTERNATIONAL SYMPOSIUM ON SIGNAL PROCESSING AND INFORMATION|TECHNOLOGY (IEEE ISSPIT 2013)","English","Proceedings Paper","ADSL routers are an integral part of today's home and small office networks. Typically, these devices are provided by a user's ISP and are, usually, managed by people who do not have any special technical knowledge. Often poorly configured and vulnerable, such devices are an easy target for network-based attacks, allowing cyber-criminals to quickly and easily gain control over a network. In this paper, we systematically evaluate the security of ADSL routers and identifY the potential of attacks, which attempt to compromise the vulnerabilities of their web interface. More specifically, we present common vulnerabilities and attacks that occur in websites on the Internet, and project them on the special characteristics of the web management interface of ADSL routers. To put this analysis into a practical context, we investigate the security of a popular ADSL router provided by a Greek iSP. in this security assessment, we have discovered two O-day vulnerabilities in the web management interface of the tested router. In particular, we discovered an operating system (OS) command injection and stored Cross-Site Scripting (XSS) attack. A malicious may exploit these vulnerabilities to perform several large-scale attacks. Specifically, he/she can perform DNS hijacking attack and redirect the users to fake web sites for phishing; mount a Distributed Denial of Service (DDoS) attack using the compromised routers as zombie machines; or even spread a malware. Finally, we discuss some well-known security practices that should be followed from developers and users to enhance the security of ADSL routers.","Stasinopoulos, A (reprint author), Univ Piraeus, Dept Digital Syst, Piraeus, Greece.","5","0","0","1","2","IEEE","NEW YORK","345 E 47TH ST, NEW YORK, NY 10017 USA","2162-7843","IEEE INT SYMP SIGNAL","","","2013","","","135","139","","5","Computer Science, Hardware & Architecture; Engineering, Electrical &|Electronic; Telecommunications","Computer Science; Engineering; Telecommunications","BC5TC","ADSL routers; web interface vulnerabilities; command injection; XSS; DNS|hijacking; phishing","","[Stasinopoulos, Anastasios; Ntantogian, Christoforos; Xenakis, Christos] Univ Piraeus, Dept Digital Syst, Piraeus, Greece.","stasinopoulos@unipi.gr; dadoyan@unipi.gr; xenakis@unipi.gr","","","","","","","","IEEE International Symposium on Signal Processing and Information|Technology","IEEE International Symposium on Signal Processing and Information|Technology (ISSPIT)","DEC 12-15, 2013","Athens, GREECE","IEEE, Univ Piraeus, IEEE Signal Proc Soc, IEEE Comp Soc, Univ Piraeus Res Ctr, Univ Patras","","978-1-4799-4796-6","","","","","IEEE","","","","3"
"WOS:000252427900022","B","Proximity breeds danger: Emerging threats in metro-area wireless|networks","Akritidis, P.|Chin, W. Y.|Lam, V. T.|Sidiroglou, S.|Anagnostakis, K. G.","ANDERSON E, 2005, S MEAS MOD SIM MALW|Shannon C, 2004, IEEE SECUR PRIV, V2, P46, DOI 10.1109/MSP.2004.59|[Anonymous], WIRELESS GEOGRAPHIC|ARBAUGH WA, 2001, IEEE WIRELESS COMMUN|Bahl P., 2000, Proceedings IEEE INFOCOM 2000. Conference on Computer Communications. Nineteenth Annual Joint Conference of the IEEE Computer and Communications Societies (Cat. No.00CH37064), DOI 10.1109/INFCOM.2000.832252|Bailey M., 2005, P 12 ISOC S NETW DIS, P167|Beverly R., 2005, P USENIX STEPS RED U, P53|BEYAH RA, 2006, IEEE INT C GRAN COMP|BITTAU A, 2006, SP 06|BLINN DP, 2005, P INT WORKSH WIR TRA|BORISOV N, 2001, P ACM MOB ROM IT JUL|BYERS S, 2004, LECT NOTES COMPUTER, V3424, P314|CACHE J, 2006, DEVICE DRIVERS|Cole R. G., 2005, Proceedings. Workshop on Principles of Advanced and Distributed Simulation (PADS 2005)|*DSHIELD ORG, DISTR INTR DET SYST|ESPINER T, DOES WIFI SECURITY M|FLUHER S, 2001, LECT NOTES COMPUTER, V2259, P124|Gedik B., 2005, ICDCS 05|Gruteser M, 2005, MOBILE NETW APPL, V10, P315, DOI 10.1007/s11036-005-6425-1|Henderson T., 2004, P 10 ANN INT C MOB C|Hsu W.-J., 2006, P 2 WORKSH WIR NETW|HU, 2005, ACM SIGCOMM AS WORKS|HYPPONEN M, 2006, WLAN VIRUSES ANYONE|Kim M, 2006, P 25 ANN JOINT C IEE|KREBS B, 2007, INTERNET EXPLORER UN|KREBS B, 2006, 2005 PATCH TIMES FIR|LEAVITT N, 2005, IEEE COMPUTER, V38|Martel C., 2004, P 23 ANN ACM S PRINC, P179, DOI 10.1145/1011767.1011794|MCMILLAN R, RES HACK WIFI DRIVER|Mickens JW, 2005, P 4 ACM WORKSH WIR S, P77, DOI DOI 10.1145/1080793.1080806|Milgram S., 1967, PSYCHOL TODAY|Portokalidis G., 2006, P ACM SIGOPS EUROSYS|ROESCH M, 1999, P USENIX LISA NOV|SAPONAS TS, 2007, DEVICES TELL YOU NIK|STAMM S, 2006, DRIVE BY PHARMING|Staniford S., 2002, Proceedings of the 11th USENIX Security Symposium|Staniford S., 2004, P ACM WORKSH RAP MAL, P33, DOI 10.1145/1029618.1029624|Su J., 2006, WORM 06, P9|TSOW A, 2006, J DIGITAL FORENSIC P, V1|*WEP, DEAD AG|*WMF, WMF EXPL|SYMANTEC INTERNET SE|F SECURE CABIR WORM|UMICH WIRELESS USAGE|2006, TREND MICRO BOTNET T|SPEAD SAPPHIRE SLAMM|YEARS BUGS|F SECURE INQTANA A W|WIFITAP PROOF CONCEP|F SECURE DATA SEC SU|AIRCRAFT SET TOOLS A","Akritidis, P|Chin, WY|Lam, VT|Sidiroglou, S|Anagnostakis, KG","USENIX ASSOCIATION PROCEEDINGS OF THE 16TH USENIX SECURITY SYMPOSIUM","English","Proceedings Paper","The growing popularity of wireless networks and mobile devices is starting to attract unwanted attention especially as potential targets for malicious activities reach critical mass. In this study, we try to quantify the threat from large-scale distributed attacks on wireless networks, and, more specifically, wifi networks in densely populated metropolitan areas. We focus on three likely attack scenarios: ""wildfire"" worms that can spread contagiously over and across wireless LANs, coordinated citywide phishing campaigns based on wireless spoofing, and rogue systems for compromising location privacy in a coordinated fashion. The first attack illustrates how dense wifi deployment may provide opportunities for attackers who want to quickly compromise large numbers of machines. The last two attacks illustrate how botnets can amplify wifi vulnerabilities, and how botnet power is amplified by wireless connectivity.|To quantify these threats, we rely on real-world data extracted from wifi maps of large metropolitan areas in the States and Singapore. Our results suggest that a carefully crafted wireless worm can infect up to 80% of all wifi connected hosts in some metropolitan areas within 20 minutes, and that an attacker can launch phishing attacks or build a tracking system to monitor the location of 10-50% of wireless users in these metropolitan areas with just 1, 000 zombies under his control.","Akritidis, P (reprint author), Univ Cambridge, Cambridge CB2 1TN, England.","51","1","1","0","0","USENIX ASSOC","BERKELEY","SUITE 215, 2560 NINTH ST, BERKELEY, CA 94710 USA","","","","","2007","","","323","338","","16","Computer Science, Hardware & Architecture; Computer Science, Information|Systems; Computer Science, Theory & Methods","Computer Science","BHE32","","","[Akritidis, P.] Univ Cambridge, Cambridge CB2 1TN, England.","","","","","","","","","","16th USENIX Security Symposium","AUG 06-10, 2007","Boston, MA","","","978-1-931971-54-6","","","","","USENIX","","","","5"
"WOS:000286170000012","J","A PRELIMINARY RESEARCH AGENDA FOR THE SPIRITUAL RECAPITALISATION OF THE|WORKPLACE - A PRACTICAL THEOLOGICAL RE-CONSTRUCTION","van den Berg, J. A.","Gordon T, 2006, TECHNOL FORECAST SOC, V73, P321, DOI 10.1016/j.techfore.2005.09.005|Landeta J, 2006, TECHNOL FORECAST SOC, V73, P467, DOI 10.1016/j.techfore.2005.09.002|Astley J., 2002, ORDINARY THEOLOGY LO|Bass Dorothy C., 2008, LIFE ABUNDANT PRACTI|BROWNING D, 1999, PRACTICAL THEOLOGY H, pR4|Browning D. S., 1991, FUNDAMENTAL PRACTICA|Cilliers J, 2009, TYDSKR GEESTESWET, V49, P624|Clancy A., 2007, APPRECIATIVE COACHIN|CONRADIE E, 2009, UITVERKOOP GESPREK V|DEKLERK JJ, 1979, EVANGELISTIEK|DEMASURE K., 2006, NED GEREF TEOLOGIESE, V47, P410|Dreyer J.S., 1998, PRACTICAL THEOLOGY S, V13, P14|Edwards P., 2005, POLITICS WORKING LIF|Ganzevoort R., 2006, HAND GOD ANDERE VERH|Ganzevoort R.R., 2001, RECONSTRUCTIES PRAKT|Gergen K. J., 1994, REALITIES RELATIONSH|GERGEN KJ, 2002, SOCIAL CONSTRUCTIONI, P273|Glenn J. C., 2008, 2008 STATE FUTURE|Graham E., 1996, TRANSFORMING PRACTIC|Guest Matthew J., 2007, SOCIOLOGY SPIRITUALI, P181|Heitink G., 1993, PRAKTISCHE THEOLOGIE|Heitink Gerben, 1999, PRACTICAL THEOLOGY H|Hicks D., 2003, RELIG WORKPLACE PLUR|HONIBALL GF, 2008, THESIS UNISA PRETORI|Human S. P., 2007, HLTH SA GESONDHEID, V12, P13|Immink F. Gerrit, 2005, FAITH PRACTICAL THEO|JONES S, 2008, LIFE ABUNDANT PRACTI, P195|JORDAAN W, 2008, KULTUS ONTBOESEMING|JOSSELSON R, 1999, MAKING MEANING NARRA, V6, pR9|Linley P. A., 2004, POSITIVE PSYCHOL PRA, P3|Loo R, 2002, POLICING, V25, P762, DOI 10.1108/13639510210450677|Louw D.J., 2008, CURA VITAE ILLNESS H|LOUW DJ, 2000, PRACTICAL THEOLOGY S, V15, P30|Miller D. W., 2007, GOD WORK HIST PROMIS|MOLLER J. C., 2001, PRACTICAL THEOLOGY S, V16, P76|Muller J. C., 2009, PRACTICAL THEOLOGY S, V24, P199|NEL A, 2008, THESIS U STELLENBOSC|Newlands G., 2006, EVOLUTION RATIONALIT, P394|NIEMANDT CJP, 2009, NED GEREF TEOLOGIESE, V50, P620|Osmer Richard R, 2008, PRACTICAL THEOLOGY I|PIETERSE HJC, 2001, PREDIKING KONTEKS AR|Ransome P., 1999, SOCIOLOGY FUTURE WOR|Reader J., 2008, RECONSTRUCTING PRACT|RUSHKOFF D, 1996, PLAYING FUTURE|Taylor Barry, 2008, ENTERTAINMENT THEOLO|VANHUYSSTEEN JW, 2009, FAITHFULL WITNESS ES, P49|VANRENSBURG JJ, 2000, PARADIGM SHIFT INTRO|Viau M., 1999, PRACTICAL THEOLOGY N|WERKUYL J, 1979, INLEIDING EVANGELIST|WILSON J.H., 2007, BUSINESS FORECASTING|Zohar D., 2004, SPIRITUAL CAPITAL WE","van den Berg, JA","ACTA THEOLOGICA","Afrikaans","Article","In this article practical theology is portrayed as a work-zone under construction. In order to understand the architecture associated with the construction work, the impotence of so called zombie categories and shell institutions are used to illustrate that practical theology needs to be re-constructed. This re-construction is being developed through reconsidering paradigm, epistemology and methodology operating within a relevant re-constructed practical theology. Theoretical principles are embodied in the use of the qualitative Delphi forecast method, documenting the consensus opinion of 10 informed participants on the possible role of spirituality within the workplace. Building on these accents, some markers are mapped for the further development of the so called recapitalisation of practical theology with emphasis on a possible meaning for the workplace. Future perspectives for the facilitation of spirituality in the workplace are mapped in conclusion.","","51","0","0","0","0","UNIV FREE STATE, FAC THEOLOGY","BLOEMFONTEIN","PUBLICATIONS OFFICE, UFS-SASOL LIBRARY, PO BOX 301, BLOEMFONTEIN, 9300,|SOUTH AFRICA","1015-8758","ACTA THEOL","Acta Theol.","DEC","2010","30","2","171","191","","21","Religion","Religion","705VY","Practical Theology; Paradigm; Epistemology; Methodology; Delphi-method;|Workplace; Spirituality","DELPHI METHOD","","vdbergja@ufs.ac.za","","","","","","","","","","","","","","","","","","","","","","","1"
"WOS:A1989AV62300003","J","A NATION OF ZOMBIES + BUBLEY,ESTHER UNPUBLISHED PHOTOGRAPHS","DIECKMANN, K","BERGER M, 1986, FSA ILLITERATE EYE P|BUBLEY E, GREYHOUND BUS SERIES|FISHER A, 1987, LET US NOW PRAISE FA|Green J., 1984, AM PHOTOGRAPHY CRITI|HURLEY FJ, 1977, PORTRAIT DECADE R ST|KELLER U, 1986, HIGHWAY HABITAT ROY|LEMANN N, 1985, OUT FORTIES|PLATTNER SW, 1983, R STRYKER US 1943 19|Sekula Allan, 1982, THINKING PHOTOGRAPHY|Stange M., 1989, SYMBOLS IDEAL LIFE S|STEIN S, 1983, MARION POST WOLCOTT|STRYKER R, 1973, THIS POUND LAND AM 1|Winkler Allan, 1978, POLITICS PROPAGANDA","DIECKMANN, K","ART IN AMERICA","English","Article","","DIECKMANN, K (reprint author), VILLAGE VOICE,NEW YORK,NY 10003, USA.","13","0","0","0","2","BRANT PUBL, INC","NEW YORK","575 BROADWAY, NEW YORK, NY 10012","0004-3214","ART AM","Art Am.","NOV","1989","77","11","55","&","","0","Art","Art","AV623","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
"WOS:000329048800001","J","Rumor Diffusion in an Interests-Based Dynamic Social Network","Tang, Mingsheng|Mao, Xinjun|Guessoum, Zahia|Zhou, Huiping","Zhang YC, 2013, PHYS REV E, V87, DOI 10.1103/PhysRevE.87.032133|Barabasi AL, 1999, SCIENCE, V286, P509, DOI 10.1126/science.286.5439.509|Goldenberg J, 2001, MARKET LETT, V12, P211, DOI 10.1023/A:1011122126881|Watts DJ, 1998, NATURE, V393, P440, DOI 10.1038/30918|Liu ZH, 2003, PHYS REV E, V67, DOI 10.1103/PhysRevE.67.031911|Zhou J, 2007, PHYS LETT A, V368, P458, DOI 10.1016/j.physleta.2007.01.094|Xiong F, 2012, PHYS LETT A, V376, P2103, DOI 10.1016/j.physleta.2012.05.021|Newman MEJ, 2003, SIAM REV, V45, P167, DOI 10.1137/S003614450342480|Cheng J., 2013, EUROPEAN PHYS J B, V86, P1|Gruhl D., 2004, P 13 INT C WORLD WID, P491, DOI DOI 10.1145/988672.988739|Jin EM, 2001, PHYS REV E, V64, DOI 10.1103/PhysRevE.64.046132|Newman MEJ, 2003, PHYS REV E, V68, DOI 10.1103/PhysRevE.68.026121|Rihan F. A., 2012, J PUBLIC HLTH FRONTI, V1, P85|Tang M., 2013, J COMPUTATIONAL INFO, V9, P4989|Tang MS, 2013, SCI WORLD J, DOI 10.1155/2013/196823|Weia J., 2012, J INFORM, V6, P600","Tang, MS|Mao, XJ|Guessoum, Z|Zhou, HP","SCIENTIFIC WORLD JOURNAL","English","Article","To research rumor diffusion in social friend network, based on interests, a dynamic friend network is proposed, which has the characteristics of clustering and community, and a diffusion model is also proposed. With this friend network and rumor diffusion model, based on the zombie-city model, some simulation experiments to analyze the characteristics of rumor diffusion in social friend networks have been conducted. The results show some interesting observations: (1) positive information may evolve to become a rumor through the diffusion process that people may modify the information by word of mouth; (2) with the same average degree, a random social network has a smaller clustering coefficient and is more beneficial for rumor diffusion than the dynamic friend network; (3) a rumor is spread more widely in a social network with a smaller global clustering coefficient than in a social network with a larger global clustering coefficient; and (4) a network with a smaller clustering coefficient has a larger efficiency.","Tang, MS (reprint author), Natl Univ Def Technol, Coll Comp, Changsha 410073, Hunan, Peoples R China.","16","0","0","5","14","HINDAWI PUBLISHING CORPORATION","NEW YORK","410 PARK AVENUE, 15TH FLOOR, #287 PMB, NEW YORK, NY 10022 USA","1537-744X","SCI WORLD J","Sci. World J.","","2013","","","","","10.1155/2013/824505","10","Multidisciplinary Sciences","Science & Technology - Other Topics","280RP","","","[Tang, Mingsheng; Mao, Xinjun; Zhou, Huiping] Natl Univ Def Technol, Coll Comp, Changsha 410073, Hunan, Peoples R China.|[Guessoum, Zahia] Univ Paris 06, LIP 6, F-75006 Paris, France.","tms110145@gmail.com","824505","National Nature and Science Foundation of China [61379051, 61133001,|61070034]; Program for New Century Excellent Talents in University","National Nature and Science Foundation of China under Grants Nos.|61379051, 61133001, and 61070034, and Program for New Century Excellent|Talents in University support this work.","","","","","","","","","","","","","","","","","","","","4"
"WOS:000309019000053","J","Cockneys vs Zombies","Bite, Anton","HOENE M, 2012, COCKNEYS VS ZOMBIES","Bite, A","SIGHT AND SOUND","English","Film Review","","","1","0","0","0","1","BRITISH FILM INST","LONDON","21 STEPHEN STREET, LONDON W1P 1PL, ENGLAND","0037-4806","SIGHT SOUND","Sight Sound","OCT","2012","22","10","84","84","","1","Film, Radio, Television","Film, Radio & Television","009IH","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
"WOS:000314400700052","S","Tackling Application-layer DDoS Attacks","Beitollahi, Hakem|Deconinck, Geert","Douligeris C, 2004, COMPUT NETW, V44, P643, DOI 10.1016/j.comnet.2003.10.003|Athanasopoulos E, 2006, LECT NOTES COMPUT SC, V4237, P97|Beitollahi H., 2012, 0120120130 U LEUV EL|Caum LO, 2011, WHY IS CAPTCHA SO AN|Fraser J, 2010, WHY YOU SHOULD NEVER|Kantardzic M., 2002, DATA MINING CONCEPTS|Morein WG, 2003, P 10 ACM C COMP COMM|Mori G, 2003, P IEEE COMP SOC C CO|Peng T., ACM COMPUTING SURVEY, V39|Podevin JF, 2004, COMMUN ACM, V47, P57|Thapngam T, 2011, P 2011 IEEE C COMP C, P969|Truong HD, 2011, P IEEE INT C COMM KY|Xie Y, 2009, IEEE ACM T NETWORK, V17, P54, DOI 10.1109/TNET.2008.923716|Yatagai T., 2007, P IEEE PAC RIM C COM, P232","Beitollahi, H|Deconinck, G","ANT 2012 AND MOBIWIS 2012","English","Proceedings Paper","In application-layer distributed denial of service (DDoS) attacks, zombie machines attack the victim server through legitimate packets such that packets have legitimate format and are sent through normal TCP connections. Consequently, neither intrusion detection systems (IDS) nor victim server can detects malicious packets. This paper proposes a novel scheme which is called ConnectionScore to resist against such DDoS attacks. During the attack time, any connection is scored based on history and statistical analysis which has been done during the normal condition. The bottleneck resources are retaken from those connections which take lower scores. Our analysis shows that connections established by the adversary give low scores. In fact, ConnectionScore technique can estimate legitimacy of connections with high probability. To evaluate performance of the scheme, we perform experiments on Emulab environment using real traceroute data of ClarkNet WWW server. (C) 2011 Published by Elsevier Ltd.","Beitollahi, H (reprint author), Katholieke Univ Leuven, Dept Elect Engn, Kasteelpk Arenberg 10, Louvain, Belgium.","14","0","1","0","2","ELSEVIER SCIENCE BV","AMSTERDAM","SARA BURGERHARTSTRAAT 25, PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS","1877-0509","PROCEDIA COMPUT SCI","","","2012","10","","432","441","10.1016/j.procs.2012.06.056","10","Computer Science, Hardware & Architecture; Computer Science, Theory &|Methods","Computer Science","BDQ15","Application-layer DDoS attacks; HTTP flood; Connection score","","[Beitollahi, Hakem; Deconinck, Geert] Katholieke Univ Leuven, Dept Elect Engn, Louvain, Belgium.","hakem.beitollahi@esat.kuleuven.be; geert.deconinck@esat.kuleuven.be","","","","","","","Shakshuki, E|Younas, M","Procedia Computer Science","3rd International Conference on Ambient Systems, Networks and|Technologies (ANT) / 9th International Conference on Mobile Web|Information Systems (MobiWIS)","AUG 27-29, 2012","Niagara Falls, CANADA","","","","","Deconinck, Geert/H-9508-2014","Deconinck, Geert/0000-0002-2225-3987","","","","","","2"
"WOS:000349439600002","J","Pedro Costa on the Island of the Dead: Distant Referencing and the|Making of Casa de Lava (1995)","Jorge, Nuno Barradas","[Anonymous], 1943, I WALKED ZOMBIE|[Anonymous], 1991, MADR FILM QUAN UNPUB|Bergala Alain, 1996, CINEMA COMP INFLUENC, P51|Bishop Kyle William, 2010, AM ZOMBIE GOTHIC RIS|Boozer Jack, 2008, AUTHORSHIP FILM ADAP|Cabo Ricardo M., 2009, CEM MIL CIGARROS FIL, P99|Cabo Ricardo M., 2009, CEM MIL CIGARROS FIL, P15|Camara Vasco, 1995, PUBLICO         0210, P2|Costa Pedro, 1989, O SANGUE|Costa Pedro, 2012, COMMUNICATION|Costa Pedro, 2013, CASA DE LAVA CADERNO|Costa Pedro, 1995, CASA DE LAVA|Costa Pedro, 2006, COLOSSAL YOUTH|Costa Pedro, EARTH SINOPSE UNPUB|Crespo Nuno, 2013, CASA LAVA CADERNO S|Franju Georges, 1960, LES YEUX SANS VISAGE|James David E, 2006, MOST TYPICAL AVANT G|Laughton Charles, 1955, NIGHT OF THE HUNTER|Luz Nuno H, 1994, DIARIO NOTICIAS 0522, P29|Martin Adrian, 2009, BLOOD, P3|Martins Maria J, 1990, JL JORNAL LETRA 1211, P20|Peranson Mark, 2010, P COSTA, P125|Ray Nicholas, 1948, THEY LIVE BY NIGHT|Rector Andy, 2009, CEM MIL CIGARROS FIL, P206|Rego Marcia, 2009, TRANSNATIONAL ARCHIP, P145|Rosenbaum Jonathan, 2014, JONATHANROSENBA 0604|Rosenbaum Jonathan, 2008, JONATHANROSENBA 0612|Rossellini Roberto, 1950, STROMBOLI","Jorge, NB","ADAPTATION-THE JOURNAL OF LITERATURE ON SCREEN STUDIES","English","Article","Pedro Costa's second feature film, Casa de Lava (1995) presents a cinephile referencing experience and is constantly compared with Jacques Tourneur's eerie black-and-white classic I Walked with a Zombie (1943). An analysis of Casa de Lava reveals that this link to Tourneur's film is not just a tangential referential experience. As this article argues, I Walked with a Zombie was a central source in the working process of Casa de Lava, serving as a reference that was adapted constantly from the early stages of production, obeying to several production constraints and changes, which, although occasionally restrictive, also enriched the creative process.","Jorge, NB (reprint author), Univ Nottingham, Dept Culture Film & Media, Nottingham NG7 2RD, England.","28","0","0","0","0","OXFORD UNIV PRESS","OXFORD","GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND","1755-0637","ADAPTATION-UK","Adaptation","DEC","2014","7","3","253","264","10.1093/adaptation/apu030","12","Film, Radio, Television; Literature","Film, Radio & Television; Literature","CB2EN","Pedro Costa; adaptation; Casa de Lava; cinephilia","","Univ Nottingham, Dept Culture Film & Media, Nottingham NG7 2RD, England.","aaxnj1@nottingham.ac.uk","","","","","1755-0645","","","","","","","","","","","","","","","","","","1"
"WOS:A1976DH46800006","J","ZOMBIE","BIERER, J","","BIERER, J","INTERNATIONAL JOURNAL OF SOCIAL PSYCHIATRY","English","Article","","","0","0","0","0","1","AVENUE PUBLISHING COMPANY","LONDON","140 HARLEY ST, LONDON, ENGLAND 1 1AH","0020-7640","INT J SOC PSYCHIATR","Int. J. Soc. Psychiatr.","","1976","22","3","200","201","10.1177/002076407602200306","2","Psychiatry","Psychiatry","DH468","","","","","","","","1010694","","","","","","","","","","","","","","","","","","","1"
"WOS:000173377000004","J","South Park's solar anus, or, Rabelais returns - Cultures of consumption|and the contemporary aesthetic of obscenity","Larsen, D","BAKHTIN M, 1989, THEORY RELIG|BAKHTIN M, 1957, EROTICISM|BAKHTIN M, 1985, VISIONS EXCESS SELEC|Bakhtin Mikhail, 1968, RABELAIS HIS WORLD|BAUDRILLARD J, 1992, POSTMODERN READER|Baudrillard J, 1988, J BAUDRILLARD SELECT|BAUDRILLARD J, 1993, SYMBOLIC EXCHANGE DE|Baudrillard J, 1998, THEOR CULT SOC, V15, P1, DOI 10.1177/026327698015001001|Baudrillard Jean, 1983, SIMULATIONS|Boccaccio Giovanni, 1993, DECAMERON|Burroughs William S., 1993, NAKED LUNCH|Eliade Mircea, 1972, SHAMANISM ARCHAIC TE|Featherstone M., 1995, UNDOING CULTURE GLOB|FOUCAULT M, 1984, FOUCAULT READERRR|Foucault M., 1981, HIST SEXUALITY, V1|Foucault M., 1995, DISCIPLINE PUNISH|Freud S., 1938, TOTEM TABOO|Girard Rene, 1977, VIOLENCE SACRED|Girard Rene, 1987, THINGS HIDDEN FDN WO|Girard Rene, 1986, SCAPEGOAT|Harvey D., 1989, CONDITION POSTMODERN|JAMESON F, 1984, NEW LEFT REV, P53, DOI 10.2307/488353|Nietzsche F, 1956, BIRTH TRAGEDY GENEAL|Nietzsche F., 1990, TWILIGHT IDOLS ANTIC|Nietzsche F. W., 1994, HUMAN ALL TOO HUMAN|PARKER T, 1998, S PARK SERIES ONE|Raffel Burton, 1990, GARGANTUA PANTAGRUEL|Trey Parker, 1999, S PARK BIGGER LONGER|Weber M., 1985, PROTESTANT ETHIC SPI","Larsen, D","THEORY CULTURE & SOCIETY","English","Article","South Park, as a narration of late capitalist concerns, has much in common with works from earlier carnival historical epochs, most importantly Gargantua and Pantagruel and its depiction of folk traditions of consumuptive Culture, Madness. hallucination. excrement, homosexuality, cuckoldry, flowering anuses, zombies, monstrosity, gambling, banquets, viral contagion, grotesque consumption all become signs (if a historical epoch which exists in a repetitious and catastrophic sacrifical crests (Girard), a period of terrifying recurrence of the same and effacement of the 'immense freedom' of ascetic reflexivity. Bataille's, Foucault's and Nietzsche's originally transgressive concerns for theorizing, via genealogy and heterology, the expulsed matter of a disciplinary, segmented metaphysics of the trancendent. regularized subject, become, in the age of late capitalism, appropriation of carnival tradition,, the dominant logic, displaying a consumptive concern for a terrain of absences and orifices.","Larsen, D (reprint author), Univ Cambridge, Cambridge CB2 1TN, England.","29","2","2","2","6","SAGE PUBLICATIONS LTD","LONDON","6 BONHILL STREET, LONDON EC2A 4PU, ENGLAND","0263-2764","THEOR CULT SOC","Theory Cult. Soc.","AUG","2001","18","4","65","+","10.1177/02632760122051887","19","Cultural Studies","Cultural Studies","513KJ","acephalia; ascetic reflexivity; the ecstatic; excrement; genealogy;|sacrificial crisis","","Univ Cambridge, Cambridge CB2 1TN, England.","","","","","","","","","","","","","","","","","","","","","","","","1"
"WOS:000311183900008","J","13 Ways of Looking at a Zombie","Jaffe, Aaron","","Jaffe, A","AMERICAN BOOK REVIEW","English","Editorial Material","","Jaffe, A (reprint author), Univ Louisville, Louisville, KY 40292 USA.","0","0","0","0","6","UNIV HOUSTON, VICTORIA-ART & SCI","VICTORIA","3007 N BEN WILSON, VICTORIA, TX 77901 USA","0149-9408","AM BOOK REV","Am. Book Rev.","SEP-OCT","2012","33","6","9","10","","2","Literature","Literature","038OL","","","Univ Louisville, Louisville, KY 40292 USA.","","","","","","","","","","","","","","","","","","","","","","","","1"
"WOS:000312989000001","J","Zombie-Science and Beyond","Schwartz, Franklin W.","Kuhn T., 2000, ROAD STRUCTURE","Schwartz, FW","GROUND WATER","English","Editorial Material","","","1","3","3","1","42","WILEY-BLACKWELL","HOBOKEN","111 RIVER ST, HOBOKEN 07030-5774, NJ USA","0017-467X","GROUND WATER","Ground Water","JAN-FEB","2013","51","1","1","1","10.1111/gwat.12008","1","Geosciences, Multidisciplinary; Water Resources","Geology; Water Resources","063IF","","","","","","","","23281685","","","","","","","","","","","","","","","","","","","1"
